Athens,1896,Gymnastics,Artistic G., Spyros ATHANASOPOULOS,GRE,Men,"team, parallel bars",M,Silver
Athens,1896,Gymnastics,Artistic G., Petros PERSAKIS,GRE,Men,"team, parallel bars",M,Silver
Athens,1896,Gymnastics,Artistic G., Thomasios XENAKIS,GRE,Men,"team, parallel bars",M,Silver
Athens,1896,Gymnastics,Artistic G., Hermann WEINGÄRTNER,GER,Men,vault,M,Bronze
Athens,1896,Gymnastics,Artistic G., Carl SCHUMANN,GER,Men,vault,M,Gold
Athens,1896,Gymnastics,Artistic G., Louis ZUTTER,SUI,Men,vault,M,Silver
Athens,1896,Shooting,Shooting, Nikolaos MORAKIS,GRE,Men,25m army pistol,M,Bronze
Athens,1896,Shooting,Shooting, John PAINE,USA,Men,25m army pistol,M,Gold
Athens,1896,Shooting,Shooting, Sumner PAINE,USA,Men,25m army pistol,M,Silver
Athens,1896,Shooting,Shooting, Holger NIELSEN,DEN,Men,25m rapid fire pistol (60 shots),M,Bronze
Athens,1896,Shooting,Shooting, Joannis PHRANGOUDIS,GRE,Men,25m rapid fire pistol (60 shots),M,Gold
Athens,1896,Shooting,Shooting, Georgios ORPHANIDIS,GRE,Men,25m rapid fire pistol (60 shots),M,Silver
Athens,1896,Shooting,Shooting, Joannis PHRANGOUDIS,GRE,Men,50m pistol (60 shots),M,Bronze
Athens,1896,Shooting,Shooting, Sumner PAINE,USA,Men,50m pistol (60 shots),M,Gold
Athens,1896,Shooting,Shooting, Holger NIELSEN,DEN,Men,50m pistol (60 shots),M,Silver
Athens,1896,Shooting,Shooting, Nicolaos TRIKUPIS,GRE,Men,"army rifle, 200m",M,Bronze
Athens,1896,Shooting,Shooting, Pantelis KARASEVDAS,GRE,Men,"army rifle, 200m",M,Gold
Athens,1896,Shooting,Shooting, Pavlos PAVLIDIS,GRE,Men,"army rifle, 200m",M,Silver
Athens,1896,Shooting,Shooting, Viggo JENSEN,DEN,Men,"army rifle, 300m",M,Bronze
Athens,1896,Shooting,Shooting, Georgios ORPHANIDIS,GRE,Men,"army rifle, 300m",M,Gold
Athens,1896,Shooting,Shooting, Joannis PHRANGOUDIS,GRE,Men,"army rifle, 300m",M,Silver
Athens,1896,Tennis,Tennis, Edwin FLACK,ZZX,Men,doubles,M,Bronze
Athens,1896,Tennis,Tennis, George Stuart ROBERTSON,ZZX,Men,doubles,M,Bronze
Athens,1896,Tennis,Tennis, John BOLAND,ZZX,Men,doubles,M,Gold
Athens,1896,Tennis,Tennis, Friedrich TRAUN,ZZX,Men,doubles,M,Gold
Athens,1896,Tennis,Tennis, Dionysios KASDAGLIS,ZZX,Men,doubles,M,Silver
Athens,1896,Tennis,Tennis, Demetrios PETROKOKKINOS,ZZX,Men,doubles,M,Silver
Athens,1896,Tennis,Tennis, Konstantinos PASPATIS,GRE,Men,singles,M,Bronze
Athens,1896,Tennis,Tennis, Momcsillo TAPAVICZA,HUN,Men,singles,M,Bronze
Athens,1896,Tennis,Tennis, John BOLAND,GBR,Men,singles,M,Gold
Athens,1896,Tennis,Tennis, Dionysios KASDAGLIS,GRE,Men,singles,M,Silver
Athens,1896,Weightlifting,Weightlifting, Alexandros NIKOLOPOULOS,GRE,Men,heavyweight - one hand lift,M,Bronze
Athens,1896,Weightlifting,Weightlifting, Launceston ELLIOTT,GBR,Men,heavyweight - one hand lift,M,Gold
Athens,1896,Weightlifting,Weightlifting, Viggo JENSEN,DEN,Men,heavyweight - one hand lift,M,Silver
Athens,1896,Weightlifting,Weightlifting, Sotirios VERSIS,GRE,Men,heavyweight - two hand lift,M,Bronze
Athens,1896,Weightlifting,Weightlifting, Viggo JENSEN,DEN,Men,heavyweight - two hand lift,M,Gold
